Student,Subject,DOB,Grade,Year,Gender,High School,District
John Doe,Geometry,9/5/05,B+,12,M,Timothy Christian School,Piscataway School District
John Doe,English,9/5/05,A,12,M,Timothy Christian School,Piscataway School District
Emily Sharp,Art,8/23/05,C,12,F,J.P Stevens,Edison School District
Edward Williams,English,2/5/07,A+,10,M,Bound Brook High,Bound Brook District
John Doe,Art,9/5/05,C,12,M,Timothy Christian School,Piscataway School District
Mike Simmons,Geometry,2/3/06,A,11,M,Pine Hill High,Piscataway School District
Kerry Strickland,Art,8/27/07,F,10,F,Rutgers Preparatory School,Edison School District
David Kerr,English,1/22/07,B+,10,M,Freedom High,Atlantic School District
Emily Sharp,Geometry,8/23/05,A,12,F,J.P Stevens,Edison School District
Kerry Strickland,English,8/27/07,A,10,F,Rutgers Preparatory School,Edison School District
Mike Simmons,Art,2/3/06,A,11,M,Pine Hill High,Piscataway School District
Lorie Eck,English,6/4/08,A-,9,F,Crossroads High,Hamilton School District
Edward Williams,Geometry,2/5/07,A+,10,M,Bound Brook High,Bound Brook District
